layer,metric,attack,rho,pval,n,family,q_per_attack,q_per_family,q_global,sig_per_attack,sig_per_family,sig_global
11,Batch_Cov_TopEig,ICL,-0.6731,0.0060,15,auss,0.0210,0.0128,0.0868,*,*,
11,Batch_Cov_TopEig,GCG,-0.1705,0.5435,15,auss,0.9451,0.9546,0.9522,,,
11,Batch_Cov_TopEig,MIA,-0.1821,0.5159,15,auss,0.9988,1.0000,0.9373,,,
11,Batch_Cov_TopEig,MIA_MinK,-0.0909,0.7904,11,auss,0.9822,0.9762,0.9786,,,
11,Batch_Cov_TopEig,MIA_Ref,-0.4455,0.1697,11,auss,0.9785,0.9390,0.5807,,,
11,Batch_Cov_TopEig,MIA_Hidden,-0.2636,0.4334,11,auss,0.9958,0.9939,0.8883,,,
11,Batch_Cov_TopEig,SPV_MIA,0.4932,0.1232,11,auss,0.1803,0.1595,0.4864,,,
11,Reg_S_alpha_2,Steering,0.2912,0.3344,13,entropy,0.9873,0.9858,0.8176,,,
11,Reg_S_alpha_2,ICL,-0.3217,0.2838,13,entropy,0.3559,0.4356,0.7717,,,
11,Reg_S_alpha_2,GCG,0.0064,0.9835,13,entropy,0.9986,0.9948,0.9974,,,
11,Reg_S_alpha_2,MIA,0.2033,0.5053,13,entropy,0.9988,0.7495,0.9373,,,
11,Reg_S_alpha_2,MIA_MinK,-0.4167,0.2646,9,entropy,0.9822,0.9120,0.7422,,,
11,Reg_S_alpha_2,MIA_Ref,-0.0667,0.8647,9,entropy,0.9821,1.0000,0.9897,,,
11,Reg_S_alpha_2,MIA_Hidden,0.6500,0.0581,9,entropy,0.6683,0.3850,0.3105,,,
11,Reg_S_alpha_2,SPV_MIA,-0.0667,0.8647,9,entropy,0.8797,0.8647,0.9897,,,
11,Reg_MeanCos,Steering,-0.1648,0.5905,13,entropy,0.9873,0.9858,0.9684,,,
11,Reg_MeanCos,ICL,0.4600,0.1138,13,entropy,0.1650,0.2225,0.4670,,,
11,Reg_MeanCos,GCG,0.0925,0.7637,13,entropy,0.9451,0.9080,0.9786,,,
11,Reg_MeanCos,MIA,-0.4451,0.1275,13,entropy,0.9988,0.7011,0.4924,,,
11,Reg_MeanCos,MIA_MinK,0.1833,0.6368,9,entropy,0.9822,0.9120,0.9786,,,
11,Reg_MeanCos,MIA_Ref,-0.1333,0.7324,9,entropy,0.9821,0.9885,0.9786,,,
11,Reg_MeanCos,MIA_Hidden,-0.4000,0.2861,9,entropy,0.9958,0.8210,0.7717,,,
11,Reg_MeanCos,SPV_MIA,-0.6833,0.0424,9,entropy,0.0959,0.0842,0.2712,,,
