pair,label_a,label_b,metric,mean_a,mean_b,gap,ci_lo,ci_hi,d,p_raw,n,q_adj,sig
hp_forget_vs_sw,HP-forget,SW,Centroid_Norm,0.8188849312287789,0.8667524346598872,0.09739641127762969,0.04305275590331461,0.1560499701786924,-0.37485814398628114,0.49609375,9,0.5411931818181818,
hp_forget_vs_sw,HP-forget,SW,Global_Coherence,0.8188849378515173,0.8667524368674667,0.09739637154119986,0.043052702369513356,0.15605001184675424,-0.3748581733624354,0.49609375,9,0.5411931818181818,
hp_forget_vs_sw,HP-forget,SW,Batch_SecondMoment_TopEig,0.5564241475529141,0.8717307911978828,0.31530664364496863,0.25426568764227403,0.3735450171762042,-3.1835643244188563,0.00390625,9,0.00625,**
hp_forget_vs_sw,HP-forget,SW,AUSS_L2,0.7050635709806725,0.5934065468954267,0.3675521033712559,0.1825360200031557,0.5554756857058101,0.2326529192888772,0.65234375,9,0.6662234042553191,
hp_forget_vs_sw,HP-forget,SW,AUSS_Cos2,0.4512638394479398,0.27243378461786993,0.22087623089275982,0.11327750680071337,0.33009411622252727,0.7936399548004723,0.0390625,9,0.04807692307692308,*
hp_forget_vs_sw,HP-forget,SW,AUSS_Jac,0.6496635675476518,0.5009335159482271,0.15622459163046337,0.0824461855042105,0.2339349359322744,1.1121089896914067,0.01171875,9,0.016544117647058824,*
hp_forget_vs_sw,HP-forget,SW,Batch_Cov_Trace,0.31727860923166623,0.23736264631669549,0.15598997150340843,0.070625011987027,0.2476735941636704,0.396957350084747,0.49609375,9,0.5411931818181818,
hp_forget_vs_sw,HP-forget,SW,Batch_Cov_TopEig,0.19532914673564605,0.09404801735999403,0.11136445140949006,0.03297782213151184,0.19910489389224456,0.7042809390884669,0.07421875,9,0.08689024390243902,
hp_retain_vs_sw,HP-retain,SW,Centroid_Norm,0.9096042359316789,0.8667524346598872,0.05073940753936765,0.022774478351628293,0.08627954031582233,0.7219937273862258,0.0390625,9,0.04807692307692308,*
hp_retain_vs_sw,HP-retain,SW,Global_Coherence,0.9096042646302117,0.8667524368674667,0.05073948259706851,0.022774493528736943,0.086279676578663,0.7219930679319498,0.0390625,9,0.04807692307692308,*
hp_retain_vs_sw,HP-retain,SW,Batch_SecondMoment_TopEig,0.8582856147377579,0.8717307911978828,0.06150667534934145,0.04050892828791225,0.0835395404586085,-0.18458573759189711,0.65234375,9,0.6662234042553191,
hp_retain_vs_sw,HP-retain,SW,AUSS_L2,0.3622103929519653,0.5934065468954267,0.2472013721794442,0.11810796898099835,0.40150314618195226,-0.9212719522316,0.01953125,9,0.026041666666666668,*
hp_retain_vs_sw,HP-retain,SW,AUSS_Cos2,0.264833541681852,0.27243378461786993,0.1118228887638974,0.05724057505183201,0.16475862296647392,-0.05183328540461906,0.8203125,9,0.8203125,
hp_retain_vs_sw,HP-retain,SW,AUSS_Jac,0.4855937035115945,0.5009335159482271,0.07377895392363294,0.04830438418529006,0.10023510280384802,-0.17505608694010893,0.65234375,9,0.6662234042553191,
hp_retain_vs_sw,HP-retain,SW,Batch_Cov_Trace,0.16978614170242237,0.23736264631669549,0.08352372196020075,0.042505843807831095,0.13463625161244558,-0.7355129089667493,0.0546875,9,0.065625,
hp_retain_vs_sw,HP-retain,SW,Batch_Cov_TopEig,0.04201472212594968,0.09404801735999403,0.05203329523404435,0.03112963936981498,0.07652073071372727,-1.3707747211746943,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,Centroid_Norm,0.8188849312287789,0.9096042359316789,0.09071930470290007,0.041610270021138394,0.1453229829117103,-1.0685144187753004,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,Global_Coherence,0.8188849378515173,0.9096042646302117,0.09071932677869442,0.041610322451149956,0.14532289019337405,-1.0685150445100418,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,Batch_SecondMoment_TopEig,0.5564241475529141,0.8582856147377579,0.30186146718484386,0.23320950440786503,0.3704126057801423,-2.6671038497888877,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,AUSS_L2,0.7050635709806725,0.3622103929519653,0.34285317802870713,0.1729517613296155,0.5283650549197636,1.1810845211022176,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,AUSS_Cos2,0.4512638394479398,0.264833541681852,0.18643029776608777,0.11007849237433184,0.2748575087574187,1.3294348707321997,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,AUSS_Jac,0.6496635675476518,0.4855937035115945,0.16406986403605725,0.08764541563726524,0.2530125006065581,1.182132642497037,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,Batch_Cov_Trace,0.31727860923166623,0.16978614170242237,0.1474924675292439,0.07017427152367652,0.23123040568359463,1.1244471690793707,0.00390625,9,0.00625,**
hp_forget_vs_retain,HP-forget,HP-retain,Batch_Cov_TopEig,0.19532914673564605,0.04201472212594968,0.15331442460969635,0.07374624282604561,0.24096569888017794,1.1278547820618505,0.00390625,9,0.00625,**
