model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_MIA_MinK,attack_MIA_Ref,attack_RepSimilarity,attack_SPV_MIA,attack_Steering_ASR,attack_Steering_retain_wf,mia_forget_nll,mia_retain_nll,has_attacks,verified
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO+KL,star_wars,0.2079,,,0.4500,0.8474,0.8474,0.7192,0.6266,0.5255,0.5664,0.2820,0.0571,True,1.1115,0.6646,8.5869,2.5485,1.5504,0.2381,0.8816,-0.1200,1.0000,0.2488,,,,,0.3927,0.0948,1.6829,0.4770,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,NPO+KL,william_shakespeare,0.1206,,,0.5000,0.9215,0.9215,0.8500,0.3351,0.3048,0.5469,0.1508,0.0362,True,0.7779,0.7593,10.3409,1.6029,2.5935,0.4611,0.8224,0.0800,1.0000,0.1568,,,,,0.3127,0.0714,2.1139,0.6392,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,RMU,harry_potter,0.0633,,,0.7500,0.8556,0.8556,0.7383,0.5953,0.4931,0.5722,0.2679,0.0849,True,0.5266,0.8166,5.8093,2.2490,1.0020,0.3297,0.8960,-0.0400,1.0000,0.8624,,,,,0.4439,0.1108,1.2112,3.1259,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,RMU,star_wars,0.1227,,,0.5500,0.8706,0.8706,0.7598,0.5377,0.4603,0.5713,0.2420,0.0594,True,0.6148,0.7972,15.5197,2.1579,1.9984,0.2808,0.8544,0.0400,1.0000,0.9248,,,,,0.3939,0.1164,1.3585,3.1105,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,RMU,william_shakespeare,0.0717,,,0.5500,0.9017,0.9017,0.8136,0.4156,0.3700,0.5147,0.1870,0.0458,True,0.6432,0.7923,9.2013,1.9122,1.7084,0.4015,0.7656,0.0400,1.0000,0.8904,,,,,0.3496,0.1190,1.5900,3.3458,True,True
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,WHP,harry_potter,0.1743,,,0.7000,0.8588,0.8588,0.7394,0.5833,0.4933,0.4825,0.2625,0.0635,True,0.9937,0.6954,7.4942,2.3174,1.5941,0.3075,0.9216,-0.0800,0.0000,0.4152,0.5040,0.0000,1.0000,0.9024,0.4835,0.0734,1.6862,0.5948,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,WHP,star_wars,0.2080,,,0.5000,0.8598,0.8598,0.7399,0.5793,0.4939,0.6267,0.2607,0.0470,True,1.0355,0.6891,9.5407,2.4709,1.6438,0.2564,0.8456,-0.1200,0.0000,0.2832,0.3488,0.0000,0.9928,0.8448,0.3822,0.1010,1.6615,0.4899,True,False
meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,WHP,william_shakespeare,0.1034,,,0.5000,0.9262,0.9262,0.8592,0.3158,0.2876,0.5046,0.1421,0.0404,True,0.7813,0.7582,10.2839,1.4887,2.4604,0.4818,0.8504,0.0000,0.0000,0.1776,0.4336,0.0000,0.9040,0.6784,0.3342,0.0742,2.1704,0.6728,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Base,harry_potter,0.1065,,,0.8000,0.8716,0.8716,0.7690,0.5340,0.4387,0.5373,0.2403,0.1138,True,0.1116,0.9514,201.4067,1.6658,21.3758,0.3242,0.4328,0.0400,0.0000,0.9816,,,1.0000,,0.3730,,,,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Base,star_wars,0.0983,,,0.4000,0.8657,0.8657,0.7513,0.5566,0.4730,0.6319,0.2505,0.0734,True,0.2765,0.9012,316.5446,2.2121,32.5642,0.2569,0.4816,0.0800,0.0000,0.9816,,,1.0000,,0.2606,,,,True,False
