layer,metric,attack,rho,pval,n,family
1,Batch_Cov_Trace,GCG,-0.6405549309879249,0.024826803450100885,12,auss
1,Batch_Cov_Trace,MIA,0.21678321678321683,0.49855598552418856,12,auss
1,Batch_Cov_TopEig,Steering,0.3916083916083916,0.2080634636953532,12,auss
1,Batch_Cov_TopEig,ICL,-0.5829752480681661,0.04665076405445745,12,auss
1,Batch_Cov_TopEig,GCG,-0.05153890249328131,0.8736141148640144,12,auss
1,Batch_Cov_TopEig,MIA,-0.027972027972027972,0.9312343512018808,12,auss
1,Reg_S_alpha_2,Steering,-0.08391608391608392,0.7954145018538977,12,entropy
1,Reg_S_alpha_2,ICL,-0.19072647004699264,0.5526668271653059,12,entropy
1,Reg_S_alpha_2,GCG,-0.7289073352621214,0.007158925545233372,12,entropy
1,Reg_S_alpha_2,MIA,0.3356643356643357,0.2861229029149875,12,entropy
1,Reg_MeanCos,Steering,0.08391608391608392,0.7954145018538977,12,entropy
1,Reg_MeanCos,ICL,0.19072647004699264,0.5526668271653059,12,entropy
1,Reg_MeanCos,GCG,0.7289073352621214,0.007158925545233372,12,entropy
1,Reg_MeanCos,MIA,-0.3356643356643357,0.2861229029149875,12,entropy
1,Reg_MeanL2,Steering,-0.013986013986013986,0.9655902689187795,12,entropy
1,Reg_MeanL2,ICL,0.1151556045566748,0.7215604859041252,12,entropy
1,Reg_MeanL2,GCG,0.6994565338373893,0.011348076764265028,12,entropy
1,Reg_MeanL2,MIA,0.4755244755244756,0.11817595701303213,12,entropy
1,AnonDiff_S_alpha_2,Steering,0.2517482517482518,0.42991878503288405,12,entropy
1,AnonDiff_S_alpha_2,ICL,-0.7125253031944253,0.009311364660226546,12,entropy
1,AnonDiff_S_alpha_2,GCG,-0.5816533281384606,0.047271455851478274,12,entropy
1,AnonDiff_S_alpha_2,MIA,0.3076923076923077,0.3305892594121097,12,entropy
1,AnonDiff_MeanCos,Steering,-0.1958041958041958,0.5419358857313175,12,entropy
1,AnonDiff_MeanCos,ICL,0.539791896359413,0.07006543453404736,12,entropy
1,AnonDiff_MeanCos,GCG,0.40494851959006745,0.191611357379026,12,entropy
1,AnonDiff_MeanCos,MIA,-0.5664335664335665,0.054842119775407844,12,entropy
1,AnonDiff_MeanL2,Steering,-0.15384615384615385,0.6330906812462618,12,entropy
1,AnonDiff_MeanL2,ICL,0.25910011025251833,0.41610570500180954,12,entropy
1,AnonDiff_MeanL2,GCG,0.7878089381115858,0.002343082256354628,12,entropy
1,AnonDiff_MeanL2,MIA,0.1258741258741259,0.6966831093957659,12,entropy
1,NormAnonDiff_S_alpha_2,Steering,0.16083916083916086,0.6175234895401425,12,entropy
1,NormAnonDiff_S_alpha_2,ICL,-0.7233211411216136,0.00784572027309761,12,entropy
1,NormAnonDiff_S_alpha_2,GCG,-0.5522025267137284,0.06265211852333291,12,entropy
1,NormAnonDiff_S_alpha_2,MIA,0.2867132867132868,0.36625146058358227,12,entropy
1,NormAnonDiff_MeanCos,Steering,-0.1958041958041958,0.5419358857313175,12,entropy
1,NormAnonDiff_MeanCos,ICL,0.539791896359413,0.07006543453404736,12,entropy
1,NormAnonDiff_MeanCos,GCG,0.40494851959006745,0.191611357379026,12,entropy
1,NormAnonDiff_MeanCos,MIA,-0.5664335664335665,0.054842119775407844,12,entropy
2,Centroid_Norm,Steering,-0.0979020979020979,0.762121655996299,12,auss
2,Centroid_Norm,ICL,0.4030446159483618,0.19390858951446524,12,auss
2,Centroid_Norm,GCG,0.49330092386426394,0.10316448622586726,12,auss
2,Centroid_Norm,MIA,-0.3916083916083916,0.2080634636953532,12,auss
2,Global_Coherence,Steering,-0.0979020979020979,0.762121655996299,12,auss
2,Global_Coherence,ICL,0.4030446159483618,0.19390858951446524,12,auss
2,Global_Coherence,GCG,0.49330092386426394,0.10316448622586726,12,auss
2,Global_Coherence,MIA,-0.3916083916083916,0.2080634636953532,12,auss
2,Batch_SecondMoment_TopEig,Steering,-0.0979020979020979,0.762121655996299,12,auss
2,Batch_SecondMoment_TopEig,ICL,0.4030446159483618,0.19390858951446524,12,auss
2,Batch_SecondMoment_TopEig,GCG,0.49330092386426394,0.10316448622586726,12,auss
2,Batch_SecondMoment_TopEig,MIA,-0.3916083916083916,0.2080634636953532,12,auss
2,AUSS_L2,Steering,0.0979020979020979,0.762121655996299,12,auss
2,AUSS_L2,ICL,-0.4030446159483618,0.19390858951446524,12,auss
2,AUSS_L2,GCG,-0.49330092386426394,0.10316448622586726,12,auss
2,AUSS_L2,MIA,0.3916083916083916,0.2080634636953532,12,auss
2,AUSS_Cos2,Steering,0.0979020979020979,0.762121655996299,12,auss
2,AUSS_Cos2,ICL,-0.4030446159483618,0.19390858951446524,12,auss
2,AUSS_Cos2,GCG,-0.49330092386426394,0.10316448622586726,12,auss
2,AUSS_Cos2,MIA,0.3916083916083916,0.2080634636953532,12,auss
2,AUSS_Jac,Steering,0.16083916083916086,0.6175234895401425,12,auss
2,AUSS_Jac,ICL,-0.4570238055843031,0.1352550158894237,12,auss
2,AUSS_Jac,GCG,-0.5816533281384606,0.047271455851478274,12,auss
2,AUSS_Jac,MIA,0.5454545454545455,0.06661188226688902,12,auss
2,Batch_Cov_Trace,Steering,0.0979020979020979,0.762121655996299,12,auss
2,Batch_Cov_Trace,ICL,-0.4030446159483618,0.19390858951446524,12,auss
2,Batch_Cov_Trace,GCG,-0.49330092386426394,0.10316448622586726,12,auss
2,Batch_Cov_Trace,MIA,0.3916083916083916,0.2080634636953532,12,auss
2,Batch_Cov_TopEig,Steering,0.2517482517482518,0.42991878503288405,12,auss
2,Batch_Cov_TopEig,ICL,-0.5253974457898288,0.079394478992384,12,auss
2,Batch_Cov_TopEig,GCG,-0.4491247217271658,0.14300941662472783,12,auss
2,Batch_Cov_TopEig,MIA,0.2447552447552448,0.4432619364501832,12,auss
2,Reg_S_alpha_2,Steering,0.10489510489510491,0.7456094809807079,12,entropy
2,Reg_S_alpha_2,ICL,-0.32027652517325184,0.3101429541975229,12,entropy
2,Reg_S_alpha_2,GCG,-0.46385012243953183,0.1287777412760693,12,entropy
2,Reg_S_alpha_2,MIA,0.6153846153846154,0.03316990109010587,12,entropy
2,Reg_MeanCos,Steering,-0.034965034965034975,0.9140933424107598,12,entropy
2,Reg_MeanCos,ICL,0.3994460033059657,0.1982968098459953,12,entropy
2,Reg_MeanCos,GCG,0.5227517252889962,0.08119677779947733,12,entropy
2,Reg_MeanCos,MIA,-0.5664335664335665,0.054842119775407844,12,entropy
2,Reg_MeanL2,Steering,-0.2027972027972028,0.5273023541661082,12,entropy
2,Reg_MeanL2,ICL,0.327473750458044,0.29877299456472056,12,entropy
2,Reg_MeanL2,GCG,0.6552803317002911,0.020718452537154427,12,entropy
2,Reg_MeanL2,MIA,-0.1188811188811189,0.712884219214772,12,entropy
2,AnonDiff_S_alpha_2,Steering,0.06993006993006995,0.8290236405313092,12,entropy
2,AnonDiff_S_alpha_2,ICL,-0.47861548143867966,0.11546838272073812,12,entropy
2,AnonDiff_S_alpha_2,GCG,-0.5374771260013622,0.07151198097589553,12,entropy
2,AnonDiff_S_alpha_2,MIA,0.4685314685314686,0.124454791188834,12,entropy
2,AnonDiff_MeanCos,Steering,-0.2377622377622378,0.4568008526399232,12,entropy
2,AnonDiff_MeanCos,ICL,0.7341169790488018,0.006560018793524405,12,entropy
2,AnonDiff_MeanCos,GCG,0.3902231188777014,0.20981956135919516,12,entropy
2,AnonDiff_MeanCos,MIA,-0.4265734265734266,0.16669998762494495,12,entropy
2,AnonDiff_MeanL2,Steering,-0.0979020979020979,0.762121655996299,12,entropy
2,AnonDiff_MeanL2,ICL,0.47141825615388744,0.1218369577777449,12,entropy
2,AnonDiff_MeanL2,GCG,0.802534338823952,0.0016794207429574788,12,entropy
2,AnonDiff_MeanL2,MIA,-0.25874125874125875,0.41677476889913834,12,entropy
2,NormAnonDiff_S_alpha_2,Steering,0.11188811188811189,0.729194990751066,12,entropy
2,NormAnonDiff_S_alpha_2,ICL,-0.4246362918027384,0.1688433733543018,12,entropy
2,NormAnonDiff_S_alpha_2,GCG,-0.5374771260013622,0.07151198097589553,12,entropy
2,NormAnonDiff_S_alpha_2,MIA,0.5244755244755246,0.08001937592027475,12,entropy
2,NormAnonDiff_MeanCos,Steering,-0.2377622377622378,0.4568008526399232,12,entropy
2,NormAnonDiff_MeanCos,ICL,0.7341169790488018,0.006560018793524405,12,entropy
2,NormAnonDiff_MeanCos,GCG,0.3902231188777014,0.20981956135919516,12,entropy
2,NormAnonDiff_MeanCos,MIA,-0.4265734265734266,0.16669998762494495,12,entropy
3,Centroid_Norm,Steering,-0.17482517482517487,0.5868236643627043,12,auss
3,Centroid_Norm,ICL,0.4246362918027384,0.1688433733543018,12,auss
3,Centroid_Norm,GCG,0.46385012243953183,0.1287777412760693,12,auss
3,Centroid_Norm,MIA,-0.41958041958041964,0.1745190081300594,12,auss
3,Global_Coherence,Steering,-0.17482517482517487,0.5868236643627043,12,auss
3,Global_Coherence,ICL,0.4246362918027384,0.1688433733543018,12,auss
3,Global_Coherence,GCG,0.46385012243953183,0.1287777412760693,12,auss
3,Global_Coherence,MIA,-0.41958041958041964,0.1745190081300594,12,auss
3,Batch_SecondMoment_TopEig,Steering,-0.17482517482517487,0.5868236643627043,12,auss
3,Batch_SecondMoment_TopEig,ICL,0.4246362918027384,0.1688433733543018,12,auss
3,Batch_SecondMoment_TopEig,GCG,0.46385012243953183,0.1287777412760693,12,auss
3,Batch_SecondMoment_TopEig,MIA,-0.41958041958041964,0.1745190081300594,12,auss
3,AUSS_L2,Steering,0.17482517482517487,0.5868236643627043,12,auss
3,AUSS_L2,ICL,-0.4246362918027384,0.1688433733543018,12,auss
3,AUSS_L2,GCG,-0.46385012243953183,0.1287777412760693,12,auss
3,AUSS_L2,MIA,0.41958041958041964,0.1745190081300594,12,auss
3,AUSS_Cos2,Steering,0.17482517482517487,0.5868236643627043,12,auss
3,AUSS_Cos2,ICL,-0.4246362918027384,0.1688433733543018,12,auss
3,AUSS_Cos2,GCG,-0.46385012243953183,0.1287777412760693,12,auss
3,AUSS_Cos2,MIA,0.41958041958041964,0.1745190081300594,12,auss
3,AUSS_Jac,Steering,-0.013986013986013986,0.9655902689187795,12,auss
3,AUSS_Jac,ICL,-0.5182002205050367,0.08436211791688125,12,auss
3,AUSS_Jac,GCG,-0.40494851959006745,0.191611357379026,12,auss
3,AUSS_Jac,MIA,0.44055944055944063,0.15173503571673022,12,auss
3,Batch_Cov_Trace,Steering,0.17482517482517487,0.5868236643627043,12,auss
3,Batch_Cov_Trace,ICL,-0.4246362918027384,0.1688433733543018,12,auss
3,Batch_Cov_Trace,GCG,-0.46385012243953183,0.1287777412760693,12,auss
3,Batch_Cov_Trace,MIA,0.41958041958041964,0.1745190081300594,12,auss
3,Batch_Cov_TopEig,Steering,0.1958041958041958,0.5419358857313175,12,auss
3,Batch_Cov_TopEig,ICL,-0.3814529400939853,0.2211459448335895,12,auss
3,Batch_Cov_TopEig,GCG,-0.5522025267137284,0.06265211852333291,12,auss
3,Batch_Cov_TopEig,MIA,0.2377622377622378,0.4568008526399232,12,auss
3,Reg_S_alpha_2,Steering,0.10489510489510491,0.7456094809807079,12,entropy
3,Reg_S_alpha_2,ICL,-0.32027652517325184,0.3101429541975229,12,entropy
3,Reg_S_alpha_2,GCG,-0.46385012243953183,0.1287777412760693,12,entropy
3,Reg_S_alpha_2,MIA,0.6153846153846154,0.03316990109010587,12,entropy
3,Reg_MeanCos,Steering,-0.034965034965034975,0.9140933424107598,12,entropy
3,Reg_MeanCos,ICL,0.3994460033059657,0.1982968098459953,12,entropy
3,Reg_MeanCos,GCG,0.5227517252889962,0.08119677779947733,12,entropy
3,Reg_MeanCos,MIA,-0.5664335664335665,0.054842119775407844,12,entropy
3,Reg_MeanL2,Steering,-0.2027972027972028,0.5273023541661082,12,entropy
3,Reg_MeanL2,ICL,0.327473750458044,0.29877299456472056,12,entropy
3,Reg_MeanL2,GCG,0.6552803317002911,0.020718452537154427,12,entropy
3,Reg_MeanL2,MIA,-0.1188811188811189,0.712884219214772,12,entropy
3,AnonDiff_S_alpha_2,Steering,0.1258741258741259,0.6966831093957659,12,entropy
3,AnonDiff_S_alpha_2,ICL,-0.4246362918027384,0.1688433733543018,12,entropy
3,AnonDiff_S_alpha_2,GCG,-0.5374771260013622,0.07151198097589553,12,entropy
3,AnonDiff_S_alpha_2,MIA,0.5454545454545455,0.06661188226688902,12,entropy
3,AnonDiff_MeanCos,Steering,-0.2517482517482518,0.42991878503288405,12,entropy
3,AnonDiff_MeanCos,ICL,0.7341169790488018,0.006560018793524405,12,entropy
3,AnonDiff_MeanCos,GCG,0.3902231188777014,0.20981956135919516,12,entropy
3,AnonDiff_MeanCos,MIA,-0.44755244755244755,0.14458630130334754,12,entropy
3,AnonDiff_MeanL2,Steering,-0.16083916083916086,0.6175234895401425,12,entropy
3,AnonDiff_MeanL2,ICL,0.5505877342866015,0.06358443593924291,12,entropy
3,AnonDiff_MeanL2,GCG,0.817259739536318,0.0011704533668903904,12,entropy
3,AnonDiff_MeanL2,MIA,-0.17482517482517487,0.5868236643627043,12,entropy
3,NormAnonDiff_S_alpha_2,Steering,0.09090909090909093,0.7787253962454419,12,entropy
3,NormAnonDiff_S_alpha_2,ICL,-0.3526640389548166,0.26085771567312754,12,entropy
3,NormAnonDiff_S_alpha_2,GCG,-0.5374771260013622,0.07151198097589553,12,entropy
3,NormAnonDiff_S_alpha_2,MIA,0.5524475524475525,0.06251148327961512,12,entropy
3,NormAnonDiff_MeanCos,Steering,-0.2517482517482518,0.42991878503288405,12,entropy
3,NormAnonDiff_MeanCos,ICL,0.7341169790488018,0.006560018793524405,12,entropy
3,NormAnonDiff_MeanCos,GCG,0.3902231188777014,0.20981956135919516,12,entropy
3,NormAnonDiff_MeanCos,MIA,-0.44755244755244755,0.14458630130334754,12,entropy
4,Centroid_Norm,Steering,-0.16083916083916086,0.6175234895401425,12,auss
4,Centroid_Norm,ICL,0.3814529400939853,0.2211459448335895,12,auss
4,Centroid_Norm,GCG,0.40494851959006745,0.191611357379026,12,auss
4,Centroid_Norm,MIA,-0.3076923076923077,0.3305892594121097,12,auss
4,Global_Coherence,Steering,-0.16083916083916086,0.6175234895401425,12,auss
4,Global_Coherence,ICL,0.3814529400939853,0.2211459448335895,12,auss
4,Global_Coherence,GCG,0.40494851959006745,0.191611357379026,12,auss
4,Global_Coherence,MIA,-0.3076923076923077,0.3305892594121097,12,auss
4,Batch_SecondMoment_TopEig,Steering,-0.16083916083916086,0.6175234895401425,12,auss
4,Batch_SecondMoment_TopEig,ICL,0.3814529400939853,0.2211459448335895,12,auss
4,Batch_SecondMoment_TopEig,GCG,0.40494851959006745,0.191611357379026,12,auss
4,Batch_SecondMoment_TopEig,MIA,-0.3076923076923077,0.3305892594121097,12,auss
4,AUSS_L2,Steering,0.16083916083916086,0.6175234895401425,12,auss
4,AUSS_L2,ICL,-0.3814529400939853,0.2211459448335895,12,auss
4,AUSS_L2,GCG,-0.40494851959006745,0.191611357379026,12,auss
4,AUSS_L2,MIA,0.3076923076923077,0.3305892594121097,12,auss
4,AUSS_Cos2,Steering,0.16083916083916086,0.6175234895401425,12,auss
4,AUSS_Cos2,ICL,-0.3814529400939853,0.2211459448335895,12,auss
4,AUSS_Cos2,GCG,-0.40494851959006745,0.191611357379026,12,auss
4,AUSS_Cos2,MIA,0.3076923076923077,0.3305892594121097,12,auss
4,AUSS_Jac,Steering,0.1188811188811189,0.712884219214772,12,auss
4,AUSS_Jac,ICL,-0.4030446159483618,0.19390858951446524,12,auss
4,AUSS_Jac,GCG,-0.6258295302755588,0.029495858562686078,12,auss
4,AUSS_Jac,MIA,0.49650349650349657,0.10060263183225483,12,auss
4,Batch_Cov_Trace,Steering,0.16083916083916086,0.6175234895401425,12,auss
4,Batch_Cov_Trace,ICL,-0.3814529400939853,0.2211459448335895,12,auss
4,Batch_Cov_Trace,GCG,-0.40494851959006745,0.191611357379026,12,auss
4,Batch_Cov_Trace,MIA,0.3076923076923077,0.3305892594121097,12,auss
4,Batch_Cov_TopEig,Steering,0.18881118881118883,0.5567370561768314,12,auss
4,Batch_Cov_TopEig,ICL,-0.3994460033059657,0.1982968098459953,12,auss
4,Batch_Cov_TopEig,GCG,-0.3754977181653353,0.22904232472888109,12,auss
4,Batch_Cov_TopEig,MIA,0.31468531468531474,0.31913878550330455,12,auss
4,Reg_S_alpha_2,Steering,0.08391608391608392,0.7954145018538977,12,entropy
4,Reg_S_alpha_2,ICL,-0.3346709757428361,0.2876406484043067,12,entropy
4,Reg_S_alpha_2,GCG,-0.7436327359744875,0.00556417471576131,12,entropy
4,Reg_S_alpha_2,MIA,0.3216783216783217,0.30790987618065263,12,entropy
4,Reg_MeanCos,Steering,0.013986013986013986,0.9655902689187795,12,entropy
4,Reg_MeanCos,ICL,0.37425571480919306,0.23071011362431135,12,entropy
4,Reg_MeanCos,GCG,0.7878089381115858,0.002343082256354628,12,entropy
4,Reg_MeanCos,MIA,-0.3076923076923077,0.3305892594121097,12,entropy
4,Reg_MeanL2,Steering,-0.25874125874125875,0.41677476889913834,12,entropy
4,Reg_MeanL2,ICL,0.24830427232533,0.43646546039922485,12,entropy
4,Reg_MeanL2,GCG,0.6552803317002911,0.020718452537154427,12,entropy
4,Reg_MeanL2,MIA,0.4265734265734266,0.16669998762494495,12,entropy
4,AnonDiff_S_alpha_2,Steering,0.1398601398601399,0.6646331617926677,12,entropy
4,AnonDiff_S_alpha_2,ICL,-0.41743906651794616,0.1769584369228486,12,entropy
4,AnonDiff_S_alpha_2,GCG,-0.802534338823952,0.0016794207429574788,12,entropy
4,AnonDiff_S_alpha_2,MIA,0.31468531468531474,0.31913878550330455,12,entropy
