model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_Steering_ASR,attack_Steering_retain_wf,has_attacks,verified
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO,harry_potter,0.1981,,,0.6500,0.8626,0.8626,0.7487,0.5686,0.4778,0.5785,0.2559,0.0694,True,0.2168,0.9150,216.0262,2.1403,28.8045,0.2931,0.7504,0.0000,1.0000,0.9672,0.3716,0.1392,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO,star_wars,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO,william_shakespeare,0.1052,,,0.6500,0.9131,0.9131,0.8353,0.3696,0.3311,0.4382,0.1663,0.0504,True,0.2157,0.9208,215.5799,1.7654,28.2059,0.4204,0.7072,0.0400,1.0000,0.9512,0.4286,0.1970,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO+KL,harry_potter,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO+KL,star_wars,0.1672,,,0.5000,0.8379,0.8379,0.7056,0.6620,0.5416,0.5847,0.2979,0.0978,True,0.2454,0.9036,224.2507,2.1689,25.6921,0.2296,0.8184,0.0000,0.8000,1.0000,0.2077,0.0572,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO+KL,william_shakespeare,,,,,,,,,,,,,False,,,,,,,,,,,,,False,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,RMU,harry_potter,0.1181,,,0.8000,0.8225,0.8225,0.8732,0.7189,0.2517,0.4833,0.3235,0.2794,True,0.0114,0.9922,104.0076,0.2223,8.6625,0.4154,0.7016,0.0000,0.8000,0.9816,0.3678,0.1675,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,RMU,star_wars,0.0928,,,0.4500,0.7828,0.7828,0.8047,0.8604,0.3536,0.4034,0.3872,0.3704,True,0.0121,0.9827,108.0944,0.2076,6.9842,0.4534,0.8008,0.0000,1.0000,0.9888,0.2714,0.1045,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,RMU,william_shakespeare,0.0820,,,0.7000,0.8747,0.8747,0.7686,0.5222,0.4394,0.4722,0.2350,0.1068,True,0.1111,0.9545,187.9693,1.8777,21.8345,0.3342,0.6152,0.0400,0.8000,0.9336,0.3624,0.2241,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,WHP,harry_potter,0.2580,,,0.6000,0.8639,0.8639,0.7495,0.5636,0.4770,0.6043,0.2536,0.0628,True,0.2182,0.9159,213.8013,2.1393,27.9595,0.3044,0.9352,0.0000,0.0000,0.9880,0.3063,0.0234,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,WHP,star_wars,0.1721,,,0.4000,0.8428,0.8428,0.7125,0.6437,0.5330,0.5666,0.2897,0.0844,True,0.2455,0.9026,221.0573,2.2993,24.4410,0.2317,0.8504,0.0000,0.0000,0.9968,0.1974,0.0430,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,WHP,william_shakespeare,0.2073,,,0.7000,0.8998,0.8998,0.8116,0.4230,0.3735,0.5551,0.1903,0.0472,True,0.2377,0.9149,243.3023,1.9104,30.3607,0.4038,0.8784,0.0400,0.0000,0.9712,0.4010,0.0490,True,False
